XYDATA;LYSO.jws
736,5000;8,86279
737,0000;6,09847
737,5000;7,98133
738,0000;6,99498
738,5000;6,5914
739,0000;6,94986
739,5000;7,73903
740,0000;6,33019
740,5000;7,83113
741,0000;6,29766
741,5000;5,45787
742,0000;5,80238
742,5000;7,41935
743,0000;6,02544
743,5000;7,47951
744,0000;6,39736
744,5000;6,19608
745,0000;6,15582
745,5000;6,3562
746,0000;4,4604
746,5000;3,24711
747,0000;4,37382
747,5000;5,74441
748,0000;5,66071
748,5000;5,66521
749,0000;3,80287
749,5000;3,74287
750,0000;3,7102
750,5000;4,71585
751,0000;4,32729
751,5000;4,70485
752,0000;5,21165
752,5000;4,52092
753,0000;4,63633
753,5000;4,73189
754,0000;5,13682
754,5000;4,9919
755,0000;4,6809
755,5000;4,9519
756,0000;4,09989
756,5000;5,03374
757,0000;4,45014
757,5000;5,19001
758,0000;5,34927
758,5000;5,18931
759,0000;5,06861
759,5000;3,81883
760,0000;4,06848
760,5000;3,95417
761,0000;3,84265
761,5000;4,09268
762,0000;2,50277
762,5000;2,82943
763,0000;3,17732
763,5000;3,82558
764,0000;3,41337
764,5000;3,60807
765,0000;3,14947
765,5000;4,35017
766,0000;3,91257
766,5000;3,47076
767,0000;3,12267
767,5000;3,73613
768,0000;4,86943
768,5000;3,47828
769,0000;3,81096
769,5000;3,24736
770,0000;2,58326
770,5000;2,95979
771,0000;2,92941
771,5000;4,07318
772,0000;4,11605
772,5000;4,04569
773,0000;5,05242
773,5000;4,5555
774,0000;4,30871
774,5000;4,67218
775,0000;1,53223
775,5000;4,08743
776,0000;4,24043
776,5000;3,91481
777,0000;3,6315
777,5000;3,09158
778,0000;3,49671
778,5000;4,58448
779,0000;3,23304
779,5000;3,69944
780,0000;3,95315
780,5000;4,9788
781,0000;3,21603
781,5000;3,933
782,0000;2,82724
782,5000;3,26628
783,0000;3,89229
783,5000;3,38303
784,0000;2,92011
784,5000;4,42487
785,0000;4,05536
785,5000;4,0404
786,0000;3,93971
786,5000;4,08543
787,0000;2,89674
787,5000;4,32158
788,0000;4,49762
788,5000;4,2915
789,0000;4,60564
789,5000;3,84751
790,0000;4,54613
790,5000;3,29244
791,0000;3,92643
791,5000;3,9794
792,0000;3,06201
792,5000;3,9808
793,0000;2,83671
793,5000;3,85911
794,0000;3,99645
794,5000;5,00565
795,0000;4,69786
795,5000;3,92628
796,0000;4,07573
796,5000;4,59246
797,0000;2,80516
797,5000;4,34182
798,0000;5,20792
798,5000;3,59845
799,0000;4,05117
799,5000;4,24788
800,0000;3,97697
800,5000;3,59527
801,0000;4,97155
801,5000;4,08683
802,0000;3,97501
802,5000;3,01972
803,0000;4,93222
803,5000;3,69973
804,0000;3,18959
804,5000;4,149
805,0000;4,38373
805,5000;4,55824
806,0000;4,24536
806,5000;4,29859
807,0000;3,899
807,5000;4,26342
808,0000;3,82255
808,5000;4,47694
809,0000;3,80333
809,5000;3,73861
810,0000;4,0686
810,5000;3,52967
811,0000;4,49447
811,5000;3,95974
812,0000;4,68947
812,5000;4,88271
813,0000;3,11027
813,5000;3,55825
814,0000;3,18593
814,5000;4,87319
815,0000;4,60304
815,5000;3,92553
816,0000;3,63871
816,5000;4,2775
817,0000;4,00205
817,5000;3,97811
818,0000;3,23106
818,5000;4,26467
819,0000;3,90257
819,5000;4,50521
820,0000;5,1337
820,5000;4,27855
821,0000;4,89618
821,5000;4,88438
822,0000;5,44589
822,5000;5,3026
823,0000;4,6504
823,5000;3,36938
824,0000;4,10851
824,5000;3,46118
825,0000;4,20635
825,5000;4,11036
826,0000;4,86333
826,5000;6,07375
827,0000;5,89644
827,5000;3,63844
828,0000;4,97592
828,5000;4,04629
829,0000;4,15687
829,5000;4,43396
830,0000;4,04834
830,5000;4,54102
831,0000;4,68425
831,5000;4,03355
832,0000;3,90156
832,5000;4,25685
833,0000;4,95382
833,5000;4,57417
834,0000;3,22483
834,5000;4,72021
835,0000;3,73714
835,5000;3,00523
836,0000;3,11871
836,5000;4,74184
837,0000;2,91086
837,5000;2,95659
838,0000;6,13445
838,5000;4,62801
839,0000;2,26011
839,5000;3,47108
840,0000;2,94801
840,5000;4,68269
841,0000;4,98667
841,5000;4,40234
842,0000;4,25495
842,5000;3,55217
843,0000;3,3459
843,5000;4,30778
844,0000;3,22073
844,5000;4,21016
845,0000;3,39388
845,5000;3,28263
846,0000;3,6433
846,5000;3,70205
847,0000;3,31937
847,5000;4,37228
848,0000;2,96105
848,5000;4,49077
849,0000;4,4016
849,5000;2,2363
850,0000;3,52236
850,5000;3,06237
851,0000;3,86832
851,5000;2,9939
852,0000;4,61958
852,5000;2,90663
853,0000;3,49861
853,5000;4,47293
854,0000;4,34535
854,5000;2,50243
855,0000;3,81145
855,5000;3,31335
856,0000;3,18558
856,5000;3,54607
857,0000;3,98739
857,5000;2,8305
858,0000;2,83928
858,5000;3,64413
859,0000;2,69
859,5000;2,36484
860,0000;3,03049
860,5000;2,22527
861,0000;3,52173
861,5000;4,497
862,0000;2,21131
862,5000;3,10199
863,0000;3,70953
863,5000;3,29396
864,0000;4,47849
864,5000;3,63493
865,0000;2,91064
865,5000;3,09966
866,0000;2,71969
866,5000;2,79474
867,0000;1,92636
867,5000;3,68137
868,0000;3,73235
868,5000;2,77374
869,0000;2,96983
869,5000;2,88681
870,0000;3,32912
870,5000;3,35364
871,0000;3,00082
871,5000;3,967
872,0000;3,78306
872,5000;2,19217
873,0000;3,31727
873,5000;3,58533
874,0000;2,72554
874,5000;3,38744
875,0000;2,95547
875,5000;4,06874
876,0000;3,16651
876,5000;3,2655
877,0000;3,00643
877,5000;3,42003
878,0000;3,54514
878,5000;4,26712
879,0000;2,51345
879,5000;2,05066
880,0000;2,13092
880,5000;2,52635
881,0000;2,69676
881,5000;3,60627
882,0000;2,44403
882,5000;2,28303
883,0000;3,00951
883,5000;2,71613
884,0000;3,65225
884,5000;3,28857
885,0000;3,67372
885,5000;4,32971
886,0000;2,47271
886,5000;1,6864
887,0000;3,08118
887,5000;3,03663
888,0000;2,49575
888,5000;2,89803
889,0000;3,63658
889,5000;4,18474
890,0000;2,53332
890,5000;2,59741
891,0000;2,16054
891,5000;2,15054
892,0000;2,91781
892,5000;2,34791
893,0000;2,12415
893,5000;2,33147
894,0000;3,33842
894,5000;4,10821
895,0000;3,23271
895,5000;2,77977
896,0000;2,43418
896,5000;3,23394
897,0000;2,49817
897,5000;2,62982
898,0000;2,46043
898,5000;2,04461
899,0000;2,86634
899,5000;2,3491
900,0000;2,85083
