XYDATA;GAGG_medium_300nm.jws
747,5000;-0,151956
748,0000;-0,427329
748,5000;-0,19607
749,0000;-0,322532
749,5000;-0,258452
750,0000;-0,275444
750,5000;-0,223896
751,0000;-0,20432
751,5000;-0,396006
752,0000;-0,281366
752,5000;-0,306634
753,0000;-0,272941
753,5000;-0,380409
754,0000;-0,372471
754,5000;-0,259476
755,0000;-0,435629
755,5000;-0,371012
756,0000;-0,391743
756,5000;-0,540844
757,0000;-0,298189
757,5000;-0,372172
758,0000;-0,366664
758,5000;-0,395982
759,0000;-0,348178
759,5000;-0,339035
760,0000;-0,42271
760,5000;-0,507344
761,0000;-0,37631
761,5000;-0,334827
762,0000;-0,357219
762,5000;-0,259397
763,0000;-0,393693
763,5000;-0,441997
764,0000;-0,36603
764,5000;-0,396958
765,0000;-0,471873
765,5000;-0,56757
766,0000;-0,539766
766,5000;-0,577987
767,0000;-0,467555
767,5000;-0,476721
768,0000;-0,586071
768,5000;-0,419518
769,0000;-0,545272
769,5000;-0,716577
770,0000;-0,576285
770,5000;-0,638832
771,0000;-0,57659
771,5000;-0,617423
772,0000;-0,440158
772,5000;-0,519875
773,0000;-0,410984
773,5000;-0,369204
774,0000;-0,537355
774,5000;-0,616407
775,0000;-0,652615
775,5000;-0,591769
776,0000;-0,50039
776,5000;-0,463217
777,0000;-0,75601
777,5000;-0,558347
778,0000;-0,692639
778,5000;-0,615071
779,0000;-0,618469
779,5000;-0,506067
780,0000;-0,69137
780,5000;-0,5397
781,0000;-0,743485
781,5000;-0,361773
782,0000;-0,554525
782,5000;-0,75018
783,0000;-0,74044
783,5000;-0,583841
784,0000;-0,712976
784,5000;-0,676948
785,0000;-0,665694
785,5000;-0,655255
786,0000;-0,691785
786,5000;-0,703439
787,0000;-0,620898
787,5000;-0,627733
788,0000;-0,611639
788,5000;-0,718712
789,0000;-0,712893
789,5000;-0,759884
790,0000;-0,689201
790,5000;-0,756626
791,0000;-0,742063
791,5000;-0,606586
792,0000;-0,635336
792,5000;-0,674489
793,0000;-0,709309
793,5000;-0,76311
794,0000;-0,758014
794,5000;-0,707771
795,0000;-0,718114
795,5000;-0,792896
796,0000;-0,780757
796,5000;-0,754953
797,0000;-0,720809
797,5000;-0,666103
798,0000;-0,708605
798,5000;-0,832035
799,0000;-0,828757
799,5000;-0,723359
800,0000;-0,679619
800,5000;-0,704182
801,0000;-0,820871
801,5000;-0,671701
802,0000;-0,689473
802,5000;-0,702698
803,0000;-0,804733
803,5000;-0,878509
804,0000;-0,729947
804,5000;-0,798546
805,0000;-0,668404
805,5000;-0,703951
806,0000;-0,825347
806,5000;-0,88841
807,0000;-0,84717
807,5000;-0,815539
808,0000;-0,70927
808,5000;-0,767222
809,0000;-0,814404
809,5000;-0,858603
810,0000;-0,845653
810,5000;-0,877241
811,0000;-0,853292
811,5000;-0,763063
812,0000;-0,745791
812,5000;-0,789124
813,0000;-0,779642
813,5000;-0,833279
814,0000;-0,877698
814,5000;-0,877784
815,0000;-0,814245
815,5000;-0,796641
816,0000;-0,892976
816,5000;-0,898429
817,0000;-0,852602
817,5000;-0,849992
818,0000;-0,866057
818,5000;-0,89322
819,0000;-0,888664
819,5000;-0,897663
820,0000;-0,760991
820,5000;-0,903484
821,0000;-0,833184
821,5000;-0,802443
822,0000;-0,812561
822,5000;-0,88116
823,0000;-0,91572
823,5000;-0,866204
824,0000;-0,919091
824,5000;-0,872232
825,0000;-0,848341
825,5000;-0,828482
826,0000;-0,791897
826,5000;-0,832238
827,0000;-1,01197
827,5000;-0,80241
828,0000;-0,981628
828,5000;-0,914308
829,0000;-0,882746
829,5000;-0,930596
830,0000;-0,914296
830,5000;-0,842248
831,0000;-0,88926
831,5000;-0,892291
832,0000;-0,81414
832,5000;-0,800199
833,0000;-0,85852
833,5000;-0,819439
834,0000;-0,857191
834,5000;-0,889388
835,0000;-0,853606
835,5000;-0,875015
836,0000;-0,855814
836,5000;-1,00546
837,0000;-0,95866
837,5000;-0,875358
838,0000;-0,960183
838,5000;-0,993473
839,0000;-0,927363
839,5000;-0,932114
840,0000;-0,964311
840,5000;-0,892212
841,0000;-0,87747
841,5000;-0,95338
842,0000;-0,864125
842,5000;-0,913324
843,0000;-0,793485
843,5000;-0,913187
844,0000;-0,975245
844,5000;-0,892178
845,0000;-0,909832
845,5000;-0,904061
846,0000;-0,887004
846,5000;-0,970225
847,0000;-0,963186
847,5000;-0,876308
848,0000;-0,842586
848,5000;-0,883362
849,0000;-0,934824
849,5000;-0,928792
850,0000;-1,02775
850,5000;-0,995016
851,0000;-0,93794
851,5000;-0,93956
852,0000;-0,874085
852,5000;-0,913117
853,0000;-0,982902
853,5000;-0,965887
854,0000;-0,930791
854,5000;-0,877115
855,0000;-0,970469
855,5000;-0,847972
856,0000;-0,914515
856,5000;-0,95361
857,0000;-0,978222
857,5000;-1,00845
