XYDATA;PWO_320_900nm.jws
735,5000;2,36594
736,0000;1,62946
736,5000;1,82035
737,0000;1,27099
737,5000;1,16785
738,0000;1,19403
738,5000;0,681358
739,0000;0,894196
739,5000;1,80624
740,0000;0,850485
740,5000;0,526867
741,0000;1,25505
741,5000;1,753
742,0000;1,37269
742,5000;1,52703
743,0000;1,76369
743,5000;2,18023
744,0000;1,41235
744,5000;1,31211
745,0000;1,23643
745,5000;1,26547
746,0000;2,14497
746,5000;2,08741
747,0000;1,25615
747,5000;0,790713
748,0000;1,94486
748,5000;2,27422
749,0000;1,78865
749,5000;1,64959
750,0000;1,15582
750,5000;1,00627
751,0000;1,16281
751,5000;1,83605
752,0000;1,01518
752,5000;1,33422
753,0000;1,09788
753,5000;1,21435
754,0000;1,62809
754,5000;0,831981
755,0000;1,30426
755,5000;0,813671
756,0000;1,27262
756,5000;1,31612
757,0000;0,776079
757,5000;1,00776
758,0000;1,61091
758,5000;1,76654
759,0000;0,9678
759,5000;0,925088
760,0000;1,58481
760,5000;1,10412
761,0000;1,39219
761,5000;1,16936
762,0000;0,905569
762,5000;1,12879
763,0000;1,09159
763,5000;1,58138
764,0000;1,39129
764,5000;1,05637
765,0000;1,53106
765,5000;1,68432
766,0000;1,26452
766,5000;1,45413
767,0000;1,06162
767,5000;1,45706
768,0000;1,37278
768,5000;1,61562
769,0000;1,39465
769,5000;0,872348
770,0000;0,906879
770,5000;1,14206
771,0000;0,826933
771,5000;0,905064
772,0000;2,09422
772,5000;1,07145
773,0000;1,65335
773,5000;1,66439
774,0000;2,10616
774,5000;1,32573
775,0000;2,11655
775,5000;1,21914
776,0000;1,1964
776,5000;1,22477
777,0000;1,49451
777,5000;1,33277
778,0000;1,42111
778,5000;1,29438
779,0000;1,07177
779,5000;1,50245
780,0000;0,810574
780,5000;1,10304
781,0000;1,60934
781,5000;1,59576
782,0000;0,739813
782,5000;1,24013
783,0000;1,06546
783,5000;1,6634
784,0000;1,21718
784,5000;0,976114
785,0000;1,29245
785,5000;1,17633
786,0000;1,19611
786,5000;1,0877
787,0000;1,71705
787,5000;1,45917
788,0000;1,57708
788,5000;1,61979
789,0000;0,910605
789,5000;1,33155
790,0000;0,589649
790,5000;1,66737
791,0000;1,11889
791,5000;0,975296
792,0000;1,48711
792,5000;1,09569
793,0000;1,1206
793,5000;0,602193
794,0000;0,980544
794,5000;1,17967
795,0000;1,51643
795,5000;1,82475
796,0000;2,11795
796,5000;1,99154
797,0000;1,01673
797,5000;0,938217
798,0000;0,430145
798,5000;0,618283
799,0000;0,931757
799,5000;1,44402
800,0000;1,95489
800,5000;1,53696
801,0000;1,48243
801,5000;1,82634
802,0000;0,754283
802,5000;1,12998
803,0000;1,16413
803,5000;1,2782
804,0000;1,07158
804,5000;0,68129
805,0000;1,0688
805,5000;1,9532
806,0000;1,20769
806,5000;1,54787
807,0000;1,21172
807,5000;0,888429
808,0000;1,26488
808,5000;0,808745
809,0000;1,43985
809,5000;1,86266
810,0000;1,60835
810,5000;1,03752
811,0000;1,05306
811,5000;0,906637
812,0000;0,838302
812,5000;1,23524
813,0000;0,87888
813,5000;1,33412
814,0000;1,35204
814,5000;1,00575
815,0000;2,07079
815,5000;1,14681
816,0000;0,81548
816,5000;1,36822
817,0000;1,39597
817,5000;0,248394
818,0000;1,77192
818,5000;1,6822
819,0000;0,796188
819,5000;1,37647
820,0000;0,718201
820,5000;1,31515
821,0000;0,909067
821,5000;1,23452
822,0000;1,8836
822,5000;1,36399
823,0000;1,15267
823,5000;1,74434
824,0000;1,79818
824,5000;1,29527
825,0000;1,12934
825,5000;0,55895
826,0000;1,06258
826,5000;1,2371
827,0000;1,39244
827,5000;1,19049
828,0000;1,06035
828,5000;1,42965
829,0000;1,5676
829,5000;2,10376
830,0000;1,67234
830,5000;1,37753
831,0000;1,30843
831,5000;1,94312
832,0000;1,37429
832,5000;1,16159
833,0000;0,980443
833,5000;0,27136
834,0000;1,1673
834,5000;1,5039
835,0000;1,42752
835,5000;2,3129
836,0000;1,25887
836,5000;1,24199
837,0000;1,00175
837,5000;1,78907
838,0000;1,40746
838,5000;1,14668
839,0000;0,910962
839,5000;1,40251
840,0000;0,490618
840,5000;1,40044
841,0000;1,23667
841,5000;0,594071
842,0000;0,617876
842,5000;1,72331
843,0000;0,896424
843,5000;1,27023
844,0000;1,00524
844,5000;1,21309
845,0000;1,07284
845,5000;1,99979
846,0000;1,10436
846,5000;1,70537
847,0000;1,50975
847,5000;0,853712
848,0000;1,30759
848,5000;1,52276
849,0000;0,982172
849,5000;1,41936
850,0000;0,955002
850,5000;0,532553
851,0000;0,632125
851,5000;0,639146
852,0000;1,20213
852,5000;0,973039
853,0000;0,718394
853,5000;0,78636
854,0000;0,929535
854,5000;1,82067
855,0000;1,16675
855,5000;1,01054
856,0000;2,22445
856,5000;1,55628
857,0000;1,21473
857,5000;1,05388
858,0000;1,04847
858,5000;1,3626
859,0000;0,924993
859,5000;0,869219
860,0000;1,35973
860,5000;0,753519
861,0000;1,40672
861,5000;0,746626
862,0000;1,26353
862,5000;1,60836
863,0000;0,976913
863,5000;1,13082
864,0000;0,803217
864,5000;1,40062
865,0000;1,34617
865,5000;1,18875
866,0000;1,05925
866,5000;1,36006
867,0000;0,929013
867,5000;1,55888
868,0000;1,09457
868,5000;0,996616
869,0000;0,728188
869,5000;0,862734
870,0000;1,20096
870,5000;1,26162
871,0000;1,22471
871,5000;1,51264
872,0000;0,817119
872,5000;1,0516
873,0000;0,886834
873,5000;1,14539
874,0000;0,663189
874,5000;1,0471
875,0000;0,812911
875,5000;1,96543
876,0000;1,38401
876,5000;1,11821
877,0000;1,76141
877,5000;0,793431
878,0000;0,614299
878,5000;1,36869
879,0000;1,02111
879,5000;1,33496
880,0000;0,543209
880,5000;1,10306
881,0000;0,969815
881,5000;1,47935
882,0000;1,05122
882,5000;0,37825
883,0000;1,28415
883,5000;1,26552
884,0000;1,72794
884,5000;1,46129
885,0000;0,827584
885,5000;1,97472
886,0000;0,901813
886,5000;2,44076
887,0000;1,03621
887,5000;1,03556
888,0000;0,793981
888,5000;0,324263
889,0000;1,6829
889,5000;1,28822
890,0000;1,16764
890,5000;0,753096
891,0000;1,13771
891,5000;0,838324
892,0000;1,30132
892,5000;0,666454
893,0000;0,876955
893,5000;1,43882
894,0000;1,02775
894,5000;0,10904
895,0000;0,860267
895,5000;1,18382
896,0000;1,43134
896,5000;0,739915
897,0000;1,77593
897,5000;2,47435
898,0000;1,13844
898,5000;1,18967
899,0000;1,0801
899,5000;0,44525
900,0000;1,25703
