XYDATA;BSO.jws
682,5000;191,608
683,0000;188,828
683,5000;193,336
684,0000;189,053
684,5000;182,405
685,0000;176,229
685,5000;175,959
686,0000;176,184
686,5000;174,572
687,0000;166,269
687,5000;171,436
688,0000;174,69
688,5000;166,999
689,0000;158,606
689,5000;163,72
690,0000;160,655
690,5000;163,049
691,0000;151,913
691,5000;150,586
692,0000;147,138
692,5000;146,423
693,0000;149,83
693,5000;149,683
694,0000;143,747
694,5000;146,341
695,0000;145,107
695,5000;139,07
696,0000;144,909
696,5000;135,208
697,0000;133,676
697,5000;131,627
698,0000;131,875
698,5000;129,423
699,0000;129,95
699,5000;123,084
700,0000;127,095
700,5000;125,593
701,0000;120,982
701,5000;122,582
702,0000;112,908
702,5000;116,969
703,0000;116,897
703,5000;118,796
704,0000;111,169
704,5000;113,861
705,0000;113,175
705,5000;110,579
706,0000;99,6291
706,5000;105,466
707,0000;109,183
707,5000;110,587
708,0000;102,575
708,5000;103,279
709,0000;100,315
709,5000;98,7646
710,0000;99,2789
710,5000;101,021
711,0000;90,9479
711,5000;93,5406
712,0000;89,8734
712,5000;91,6164
713,0000;91,4182
713,5000;95,2598
714,0000;86,466
714,5000;86,8468
715,0000;79,4013
715,5000;81,1185
716,0000;87,086
716,5000;82,2076
717,0000;79,7776
717,5000;79,7139
718,0000;80,5824
718,5000;78,092
719,0000;78,6547
719,5000;81,1726
720,0000;79,643
720,5000;74,3705
721,0000;75,7511
721,5000;74,2989
722,0000;73,7138
722,5000;75,1543
723,0000;72,6017
723,5000;68,7645
724,0000;67,6659
724,5000;69,4936
725,0000;67,7589
725,5000;68,2201
726,0000;65,6379
726,5000;62,9917
727,0000;63,0146
727,5000;60,9345
728,0000;64,2455
728,5000;59,082
729,0000;59,0465
729,5000;55,7013
730,0000;58,8758
730,5000;59,8135
731,0000;57,8592
731,5000;57,8056
732,0000;59,9188
732,5000;58,5487
733,0000;57,933
733,5000;53,9247
734,0000;53,8693
734,5000;53,4815
735,0000;54,6642
735,5000;54,9426
736,0000;48,8874
736,5000;49,5957
737,0000;52,6522
737,5000;46,5715
738,0000;46,1436
738,5000;50,667
739,0000;50,4072
739,5000;45,5792
740,0000;49,641
740,5000;50,3569
741,0000;44,9874
741,5000;44,8522
742,0000;40,4507
742,5000;41,744
743,0000;42,1001
743,5000;40,8061
744,0000;40,6684
744,5000;43,8581
745,0000;43,0011
745,5000;37,9895
746,0000;41,8892
746,5000;38,6295
747,0000;38,3935
747,5000;36,582
748,0000;37,158
748,5000;41,3434
749,0000;39,7884
749,5000;39,0948
750,0000;34,4186
750,5000;37,4041
751,0000;34,3317
751,5000;31,6881
752,0000;34,6147
752,5000;36,1215
753,0000;33,0257
753,5000;32,8147
754,0000;33,3252
754,5000;32,073
755,0000;34,2474
755,5000;31,5601
756,0000;32,6495
756,5000;32,8804
757,0000;30,0588
757,5000;27,7818
758,0000;31,8782
758,5000;27,943
759,0000;26,6375
759,5000;27,0235
760,0000;29,7325
760,5000;27,6074
761,0000;26,5436
761,5000;25,1126
762,0000;28,3506
762,5000;27,3631
763,0000;28,1639
763,5000;28,1452
764,0000;26,9256
764,5000;25,4365
765,0000;23,1389
765,5000;24,7088
766,0000;24,3533
766,5000;25,4233
767,0000;24,6831
767,5000;27,3313
768,0000;22,3896
768,5000;23,8874
769,0000;21,1606
769,5000;22,4295
770,0000;23,4029
770,5000;22,4238
771,0000;22,1854
771,5000;19,7983
772,0000;22,4939
772,5000;23,9228
773,0000;20,6944
773,5000;19,6281
774,0000;20,9757
774,5000;21,7265
775,0000;20,284
775,5000;20,631
776,0000;21,2192
776,5000;19,8919
777,0000;18,0885
777,5000;21,2813
778,0000;17,7386
778,5000;15,8222
779,0000;17,3288
779,5000;17,6729
780,0000;17,6609
780,5000;17,9522
781,0000;17,0381
781,5000;16,4737
782,0000;16,5947
782,5000;15,6746
783,0000;13,0334
783,5000;16,3047
784,0000;14,6908
784,5000;14,516
785,0000;17,5434
785,5000;14,8433
786,0000;14,2954
786,5000;16,6072
787,0000;14,3472
787,5000;15,497
788,0000;14,5489
788,5000;15,3538
789,0000;13,5591
789,5000;12,0007
790,0000;13,768
790,5000;14,5548
791,0000;14,8644
791,5000;13,0187
792,0000;14,8164
792,5000;13,1814
793,0000;11,662
793,5000;11,8788
794,0000;13,0921
794,5000;12,2175
795,0000;12,132
795,5000;11,0028
796,0000;11,5245
796,5000;12,6044
797,0000;11,0561
797,5000;11,5214
798,0000;11,7022
798,5000;9,66138
799,0000;11,2843
799,5000;11,3296
800,0000;9,37813
800,5000;8,21702
